1481138701 0 9043
1481339084 0 10074
1481427930 0 10206
1481437215 0 10641
1481492822 0 10767
1481928266 0 11500
1481934694 0 11709
1482471027 0 16490
1482544172 0 17498
1482564766 0 18108
1483480069 0 24491
1483613695 0 25853
1483740724 0 64670
1483740753 0 64671
1483740827 0 64671
1483778548 0 65500
1483795639 0 65649
1484215192 0 67185
1484256120 0 225751
1484618392 0 226034
1484810857 0 227288
1484847162 0 278848
1484886186 0 279079
1485071793 0 279903
1486009924 0 281665
1486066410 0 282059
1486294369 0 338235
1486357016 0 338418
1486526753 0 340822
1491372041 0 341967
1492417896 0 342287
1493671635 35 342287
1494272719 83 342287
1494383371 203 342287
1494383974 219 342287
1494384152 220 342287
1494385508 755 342287
1494387340 764 342287
1494389329 768 342287
1494389379 769 342287
1494487714 1376 342287
1494487719 1377 342287
1494540947 1573 342287
1494540953 1574 342287
1494542249 1581 342287
1494542255 1582 342287
1494545959 1696 342287
1494545969 1697 342287
1494547372 1800 342287
1494547377 1801 342287
1494548050 1812 342287
1494548053 1813 342287
1494626105 2077 342287
1494626109 2078 342287
1494627931 2158 342287
1494627934 2159 342287
1494628393 2162 342287
1494628397 2163 342287
1494630234 2193 342287
1494630238 2194 342287
1494632517 2384 342287
1494632519 2385 342287
1495131486 3781 342287
1495131496 3782 342287
1495141205 4198 342287
1495141212 4199 342287
1495657101 5483 342287
1495714764 5907 342287
1495733140 5916 342287
1495735443 5926 342287
1496194090 5978 342287
1497037662 8833 342287
1497037851 9535 342287
1499719124 10537 342287
1523288328 25378 342287
1523289898 25643 342287
1523290163 25645 342287
1523291031 63685 342287
1523291078 63687 342287
1523291083 63689 342287
